sums length,extraction,value
100,64,0.51593
1,65,0.738013
2,65,0.849625
10,65,0.536958
100,65,0.52214
1,66,0.321408
2,66,0.597981
10,66,0.557249
100,66,0.499915
1,67,0.998319
2,67,0.970513
10,67,0.521964
100,67,0.561616
1,68,0.115769
2,68,0.55356
10,68,0.532308
100,68,0.492184
1,69,0.499122
2,69,0.416393
10,69,0.619452
100,69,0.530104
1,70,0.654316
2,70,0.542226
10,70,0.53738
100,70,0.581747
1,71,0.502852
2,71,0.271174
10,71,0.337736
100,71,0.518958
1,72,0.341224
2,72,0.326389
10,72,0.389319
100,72,0.504167
1,73,0.0372262
2,73,0.470901
10,73,0.521577
100,73,0.519898
1,74,0.96798
2,74,0.839222
10,74,0.512217
100,74,0.438149
1,75,0.24915
2,75,0.430336
10,75,0.367364
100,75,0.504743
1,76,0.689063
2,76,0.750641
10,76,0.609197
100,76,0.537156
1,77,0.318411
2,77,0.457373
10,77,0.528995
100,77,0.461589
1,78,0.895703
2,78,0.563496
10,78,0.50887
100,78,0.543925
1,79,0.476394
2,79,0.499588
10,79,0.576337
100,79,0.534726
1,80,0.871804
2,80,0.450276
10,80,0.533115
100,80,0.513359
1,81,0.930886
2,81,0.943037
10,81,0.581462
100,81,0.56076
1,82,0.278252
2,82,0.403967
10,82,0.633634
100,82,0.531974
1,83,0.0664469
2,83,0.234146
10,83,0.296082
100,83,0.483539
1,84,0.986401
2,84,0.514922
10,84,0.520477
100,84,0.499713
1,85,0.170621
2,85,0.521377
10,85,0.546931
100,85,0.455667
1,86,0.568679
2,86,0.298936
10,86,0.55655
100,86,0.502583
1,87,0.129675
2,87,0.314088
10,87,0.414114
100,87,0.494515
1,88,0.853825
2,88,0.48997
10,88,0.417887
100,88,0.462267
1,89,0.043374
2,89,0.331816
10,89,0.570701
100,89,0.485822
1,90,0.366421
2,90,0.574251
10,90,0.520234
100,90,0.521479
1,91,0.526687
2,91,0.267976
10,91,0.350162
100,91,0.428118
1,92,0.194947
2,92,0.580779
10,92,0.388313
100,92,0.461501
1,93,0.597157
2,93,0.617753
10,93,0.57149
100,93,0.476362
1,94,0.869735
2,94,0.756519
10,94,0.494853
100,94,0.501018
1,95,0.490046
2,95,0.520757
10,95,0.590157
100,95,0.463345
1,96,0.181785
2,96,0.242866
10,96,0.522338
100,96,0.492972
1,97,0.49921
2,97,0.744783
10,97,0.556315
100,97,0.512576
1,98,0.535522
2,98,0.733243
10,98,0.601115
100,98,0.478882
1,99,0.0100256
2,99,0.48779
10,99,0.349961
100,99,0.476484
1,100,0.403182
2,100,0.329958
10,100,0.353363
100,100,0.507658
1,101,0.27155
2,101,0.601015
10,101,0.526031
100,101,0.498991
1,102,0.735623
2,102,0.43176
10,102,0.523153
100,102,0.438661
1,103,0.148457
2,103,0.136905
10,103,0.340702
100,103,0.511602
1,104,0.783974
2,104,0.471781
10,104,0.398637
100,104,0.466371
1,105,0.0991408
2,105,0.301334
10,105,0.443435
100,105,0.467357
1,106,0.698628
2,106,0.688851
10,106,0.533176
100,106,0.476696
1,107,0.944749
2,107,0.940351
10,107,0.5076
100,107,0.507134
1,108,0.496713
2,108,0.353459
10,108,0.547999
100,108,0.502624
1,109,0.624767
2,109,0.617498
10,109,0.53578
100,109,0.497933
1,110,0.526275
2,110,0.482895
10,110,0.449765
100,110,0.509553
1,111,0.0781238
2,111,0.138503
10,111,0.314149
100,111,0.492955
1,112,0.405006
2,112,0.568403
10,112,0.522193
100,112,0.52831
1,113,0.64466
2,113,0.555939
10,113,0.503596
100,113,0.498432
1,114,0.573494
2,114,0.700458
10,114,0.651681
100,114,0.486511
1,115,0.950152
2,115,0.737226
10,115,0.54354
100,115,0.4823
1,116,0.0775294
2,116,0.216554
10,116,0.522645
100,116,0.516587
1,117,0.118947
2,117,0.50514
10,117,0.507683
100,117,0.485017
1,118,0.981164
2,118,0.60917
10,118,0.569072
100,118,0.541434
1,119,0.351627
2,119,0.660743
10,119,0.489196
100,119,0.512915
1,120,0.911789
2,120,0.919871
10,120,0.694564
100,120,0.476332
1,121,0.410974
2,121,0.374478
10,121,0.606154
100,121,0.5297
1,122,0.650636
2,122,0.708781
10,122,0.573942
100,122,0.488401
1,123,0.377862
2,123,0.481906
10,123,0.606285
100,123,0.491811
1,124,0.406683
2,124,0.426925
10,124,0.425249
100,124,0.502543
1,125,0.169585
2,125,0.146384
10,125,0.413396
100,125,0.498546
1,126,0.449101
2,126,0.632265
10,126,0.491769
100,126,0.465471
1,127,0.756455
2,127,0.651728
10,127,0.696108
100,127,0.468001
1,128,0.122929
2,128,0.478477
10,128,0.399483
100,128,0.487061
1,129,0.768396
2,129,0.763717
10,129,0.652838
100,129,0.545029
1,130,0.934844
2,130,0.768849
10,130,0.656133
100,130,0.57096
1,131,0.251597
2,131,0.150058
10,131,0.395209
100,131,0.48758
1,132,0.370421
2,132,0.605928
10,132,0.433872
100,132,0.493993
1,133,0.71615
2,133,0.774212
10,133,0.575388
100,133,0.53294
1,134,0.39147
2,134,0.28084
10,134,0.428243
100,134,0.476602
1,135,0.308978
2,135,0.479279
10,135,0.541107
100,135,0.505546
1,136,0.161578
2,136,0.534491
10,136,0.512021
100,136,0.494201
1,137,0.952189
2,137,0.653892
10,137,0.615418
100,137,0.503206
1,138,0.46014
2,138,0.686121
10,138,0.503227
100,138,0.531964
1,139,0.60536
2,139,0.422893
10,139,0.386507
100,139,0.458715
1,140,0.469744
2,140,0.362986
10,140,0.54241
100,140,0.493249
1,141,0.441138
2,141,0.231298
10,141,0.356177
100,141,0.459001
1,142,0.158902
2,142,0.178206
10,142,0.525067
100,142,0.514507
1,143,0.666867
2,143,0.490876
10,143,0.533881
100,143,0.504119
1,144,0.331711
2,144,0.192114
10,144,0.460858
100,144,0.417163
1,145,0.980832
2,145,0.634434
10,145,0.676499
100,145,0.553523
1,146,0.578165
2,146,0.355709
10,146,0.332054
100,146,0.469648
1,147,0.220073
2,147,0.473674
10,147,0.562275
100,147,0.527258
1,148,0.833409
2,148,0.873099
10,148,0.699432
100,148,0.520386
1,149,0.637567
2,149,0.682288
10,149,0.550687
100,149,0.494811
1,150,0.0413817
2,150,0.0331187
10,150,0.454627
100,150,0.505208
1,151,0.439938
2,151,0.526719
10,151,0.718233
100,151,0.514576
1,152,0.517851
2,152,0.548558
10,152,0.443696
100,152,0.52032
1,153,0.722736
2,153,0.642808
10,153,0.673446
100,153,0.55198
1,154,0.0200092
2,154,0.304743
10,154,0.487491
100,154,0.574622
1,155,0.75865
2,155,0.707334
10,155,0.642709
100,155,0.534546
1,156,0.254367
2,156,0.157488
10,156,0.400153
100,156,0.522798
1,157,0.724905
2,157,0.779208
10,157,0.681735
100,157,0.557247
1,158,0.591797
2,158,0.533703
10,158,0.457868
100,158,0.523286
1,159,0.399451
2,159,0.38591
10,159,0.605836
100,159,0.521732
1,160,0.108219
2,160,0.0762425
10,160,0.295783
100,160,0.502887
1,161,0.111395
2,161,0.106482
10,161,0.545426
100,161,0.498118
1,162,0.73148
2,162,0.437853
10,162,0.511772
100,162,0.512404
1,163,0.2995
2,163,0.453224
10,163,0.421435
100,163,0.508201
1,164,0.249636
2,164,0.567358
10,164,0.431521
100,164,0.515391
1,165,0.413439
2,165,0.279991
10,165,0.398633
100,165,0.494125
1,166,0.222925
2,166,0.444496
10,166,0.440173
100,166,0.474732
1,167,0.585831
2,167,0.745771
10,167,0.61313
100,167,0.506667
1,168,0.441337
2,168,0.708128
10,168,0.511574
100,168,0.499418
1,169,0.508966
2,169,0.538018
10,169,0.483583
100,169,0.502472
1,170,0.481803
2,170,0.485777
10,170,0.466927
100,170,0.486574
1,171,0.268479
2,171,0.610993
10,171,0.603957
100,171,0.509738
1,172,0.143619
2,172,0.470784
10,172,0.67044
100,172,0.511402
1,173,0.51708
2,173,0.620134
10,173,0.578927
100,173,0.546973
1,174,0.077849
2,174,0.406619
10,174,0.420356
100,174,0.480415
1,175,0.314832
2,175,0.534274
10,175,0.50133
100,175,0.509642
1,176,0.77605
2,176,0.626163
10,176,0.519508
100,176,0.48094
1,177,0.218298
2,177,0.583292
10,177,0.28433
100,177,0.494657
1,178,0.245763
2,178,0.157093
10,178,0.410339
100,178,0.512565
1,179,0.769268
2,179,0.74958
10,179,0.54924
100,179,0.502806
1,180,0.174849
2,180,0.142734
10,180,0.335111
100,180,0.483835
1,181,0.414605
2,181,0.437478
10,181,0.433252
100,181,0.474417
1,182,0.173826
2,182,0.441073
10,182,0.532793
100,182,0.470183
1,183,0.0821438
2,183,0.255609
10,183,0.519573
100,183,0.563659
1,184,0.785002
2,184,0.752865
10,184,0.509912
100,184,0.506702
1,185,0.143393
2,185,0.522837
10,185,0.60577
100,185,0.502069
1,186,0.359285
2,186,0.493079
10,186,0.523432
100,186,0.492068
1,187,0.312198
2,187,0.159344
10,187,0.514407
100,187,0.462048
1,188,0.626182
2,188,0.358199
10,188,0.689496
100,188,0.557529
1,189,0.15934
2,189,0.550113
10,189,0.51332
100,189,0.536207
1,190,0.819578
2,190,0.65516
10,190,0.482662
100,190,0.527579
1,191,0.366428
2,191,0.268865
10,191,0.351177
100,191,0.458625
1,192,0.57154
2,192,0.446018
10,192,0.516035
100,192,0.476554
1,193,0.598302
2,193,0.726308
10,193,0.427246
100,193,0.45922
1,194,0.448449
2,194,0.425699
10,194,0.393487
100,194,0.508068
1,195,0.941506
2,195,0.857309
10,195,0.602569
100,195,0.51259
1,196,0.978418
2,196,0.688465
10,196,0.700918
100,196,0.551847
1,197,0.237271
2,197,0.387409
10,197,0.523021
100,197,0.497855
1,198,0.30603
2,198,0.652028
10,198,0.354325
100,198,0.515194
1,199,0.330795
2,199,0.519845
10,199,0.563033
100,199,0.526162
1,200,0.21006
2,200,0.396506
10,200,0.548202
100,200,0.483952
1,201,0.264464
2,201,0.560078
10,201,0.412009
100,201,0.487691
1,202,0.131942
2,202,0.538705
10,202,0.548573
100,202,0.520502
1,203,0.76103
2,203,0.545541
10,203,0.613775
100,203,0.530153
1,204,0.0873681
2,204,0.5005
10,204,0.450773
100,204,0.483992
1,205,0.973608
2,205,0.874169
10,205,0.532663
100,205,0.465907
1,206,0.870481
2,206,0.643345
10,206,0.472826
100,206,0.490633
1,207,0.42272
2,207,0.226001
10,207,0.558119
100,207,0.515023
1,208,0.809786
2,208,0.729259
10,208,0.58109
100,208,0.509581
1,209,0.29648
2,209,0.247953
10,209,0.373013
100,209,0.506716
1,210,0.496953
2,210,0.531876
10,210,0.54561
100,210,0.502544
1,211,0.858345
2,211,0.522643
10,211,0.399093
100,211,0.501787
1,212,0.384351
2,212,0.659467
10,212,0.598375
100,212,0.552947
1,213,0.58777
2,213,0.767914
10,213,0.496328
100,213,0.503835
1,214,0.934215
2,214,0.76509
10,214,0.618509
100,214,0.533116
1,215,0.872396
2,215,0.514495
10,215,0.431141
100,215,0.497149
1,216,0.101992
2,216,0.307334
10,216,0.394142
100,216,0.515614
1,217,0.576322
2,217,0.685017
10,217,0.641836
100,217,0.524383
1,218,0.348496
2,218,0.388373
10,218,0.311556
100,218,0.477515
1,219,0.627333
2,219,0.548384
10,219,0.617807
100,219,0.51724
1,220,0.100133
2,220,0.434366
10,220,0.497924
100,220,0.494043
1,221,0.896821
2,221,0.449284
10,221,0.372355
100,221,0.498556
1,222,0.613546
2,222,0.596478
10,222,0.494773
100,222,0.500696
1,223,0.0895185
2,223,0.513389
10,223,0.527294
100,223,0.484339
1,224,0.550658
2,224,0.739116
10,224,0.565087
100,224,0.540586
1,225,0.115986
2,225,0.204598
10,225,0.440731
100,225,0.479474
1,226,0.232183
2,226,0.245225
10,226,0.43772
100,226,0.456413
1,227,0.489188
2,227,0.661444
10,227,0.497748
100,227,0.50094
1,228,0.512306
2,228,0.606798
10,228,0.468596
100,228,0.484145
1,229,0.667333
2,229,0.665568
10,229,0.446949
100,229,0.437574
1,230,0.504306
2,230,0.382003
10,230,0.348946
100,230,0.47811
1,231,0.958519
2,231,0.895951
10,231,0.604157
100,231,0.535552
1,232,0.986561
2,232,0.588644
10,232,0.516606
100,232,0.514897
1,233,0.608573
2,233,0.798362
10,233,0.557789
100,233,0.48391
1,234,0.230422
2,234,0.466936
10,234,0.427197
100,234,0.486079
1,235,0.0118667
2,235,0.45029
10,235,0.498744
100,235,0.524606
1,236,0.216094
2,236,0.282856
10,236,0.417766
100,236,0.45747
1,237,0.615696
2,237,0.727363
10,237,0.560913
100,237,0.486752
1,238,0.739765
2,238,0.456611
10,238,0.446279
100,238,0.455246
1,239,0.0322242
2,239,0.378096
10,239,0.296704
100,239,0.444831
1,240,0.764814
2,240,0.789065
10,240,0.516101
100,240,0.506941
1,241,0.127819
2,241,0.289532
10,241,0.425241
100,241,0.485842
1,242,0.53206
2,242,0.422218
10,242,0.595427
100,242,0.547974
1,243,0.427969
2,243,0.277175
10,243,0.379198
100,243,0.470492
1,244,0.418611
2,244,0.408135
10,244,0.517346
100,244,0.482028
1,245,0.0568535
2,245,0.158351
10,245,0.439509
100,245,0.458702
1,246,0.321993
2,246,0.373996
10,246,0.597075
100,246,0.576243
1,247,0.623962
2,247,0.668945
10,247,0.385443
100,247,0.509853
1,248,0.445828
2,248,0.259212
10,248,0.328611
100,248,0.50986
1,249,0.97605
2,249,0.959226
10,249,0.700874
100,249,0.47335
1,250,0.775462
2,250,0.46385
10,250,0.623887
100,250,0.517595
1,251,0.551059
2,251,0.455262
10,251,0.565793
100,251,0.455244
1,252,0.256544
2,252,0.485878
10,252,0.533255
100,252,0.526687
1,253,0.201491
2,253,0.298207
10,253,0.52544
100,253,0.461807
1,254,0.726655
2,254,0.738019
10,254,0.736937
100,254,0.519211
1,255,0.798098
2,255,0.874515
10,255,0.567684
100,255,0.471105
1,256,0.999721
2,256,0.723301
10,256,0.522835
100,256,0.438919
1,257,0.680588
2,257,0.625929
10,257,0.552583
100,257,0.458777
1,258,0.165028
2,258,0.111662
10,258,0.466899
100,258,0.454503
1,259,0.0904247
2,259,0.37887
10,259,0.426312
100,259,0.524387
1,260,0.137279
2,260,0.498235
10,260,0.408012
100,260,0.468861
1,261,0.10165
2,261,0.358624
10,261,0.414957
100,261,0.48986
1,262,0.781246
2,262,0.737254
10,262,0.360139
100,262,0.49658
1,263,0.259016
2,263,0.354524
10,263,0.431925
100,263,0.50168
1,264,0.534164
2,264,0.733765
10,264,0.430288
100,264,0.489513
1,265,0.138581
2,265,0.178087
10,265,0.246036
100,265,0.463686
1,266,0.361143
2,266,0.438642
10,266,0.611566
100,266,0.472986
1,267,0.364271
2,267,0.606854
10,267,0.545598
100,267,0.517442
1,268,0.103467
2,268,0.530657
10,268,0.49645
100,268,0.512829
1,269,0.244779
2,269,0.432476
10,269,0.397095
100,269,0.502337
1,270,0.816767
2,270,0.882662
10,270,0.50613
100,270,0.516067
1,271,0.138527
2,271,0.532335
10,271,0.53537
100,271,0.517708
1,272,0.545662
2,272,0.397201
10,272,0.457587
100,272,0.475789
1,273,0.91028
2,273,0.559819
10,273,0.635474
100,273,0.534439
1,274,0.143574
2,274,0.160171
10,274,0.290836
100,274,0.423344
1,275,0.411356
2,275,0.399099
10,275,0.504625
100,275,0.503657
1,276,0.221021
2,276,0.599408
10,276,0.354567
100,276,0.498674
1,277,0.796234
2,277,0.456092
10,277,0.49603
100,277,0.445289
1,278,0.0928301
2,278,0.448384
10,278,0.499154
100,278,0.492278
1,279,0.681727
2,279,0.658013
10,279,0.584567
100,279,0.5494
1,280,0.694272
2,280,0.80345
10,280,0.651847
100,280,0.509906
1,281,0.660751
2,281,0.709765
10,281,0.357628
100,281,0.518404
1,282,0.848291
2,282,0.42638
10,282,0.449687
100,282,0.513792
1,283,0.501061
2,283,0.706147
10,283,0.562704
100,283,0.488375
1,284,0.990557
2,284,0.682205
10,284,0.481484
100,284,0.441847
1,285,0.490203
2,285,0.624665
10,285,0.616562
100,285,0.482858
1,286,0.496209
2,286,0.615661
10,286,0.540999
100,286,0.518926
1,287,0.831284
2,287,0.524512
10,287,0.619171
100,287,0.532725
1,288,0.10176
2,288,0.157797
10,288,0.419222
100,288,0.461908
1,289,0.750023
2,289,0.453053
10,289,0.52877
100,289,0.490786
1,290,0.577741
2,290,0.317633
10,290,0.564438
100,290,0.543004
1,291,0.0418977
2,291,0.111941
10,291,0.442809
100,291,0.450019
1,292,0.782265
2,292,0.451984
10,292,0.514545
100,292,0.523361
1,293,0.169077
2,293,0.260778
10,293,0.592726
100,293,0.509427
1,294,0.512821
2,294,0.319884
10,294,0.356874
100,294,0.481681
1,295,0.710165
2,295,0.636987
10,295,0.498838
100,295,0.491711
1,296,0.173197
2,296,0.1163
10,296,0.19655
100,296,0.480227
1,297,0.971672
2,297,0.846388
10,297,0.544879
100,297,0.532084
1,298,0.184546
2,298,0.543138
10,298,0.515187
100,298,0.463261
1,299,0.888454
2,299,0.729708
10,299,0.620029
100,299,0.537701
1,300,0.294228
2,300,0.213788
10,300,0.477531
100,300,0.520602
1,301,0.971252
2,301,0.636066
10,301,0.53952
100,301,0.512379
1,302,0.473154
2,302,0.30076
10,302,0.494407
100,302,0.481637
1,303,0.00280193
2,303,0.335232
10,303,0.393233
100,303,0.471369
1,304,0.941988
2,304,0.824241
10,304,0.57614
100,304,0.482814
1,305,0.439851
2,305,0.476276
10,305,0.48494
100,305,0.456168
1,306,0.0286464
2,306,0.342679
10,306,0.411371
100,306,0.504247
1,307,0.0467786
2,307,0.0509499
10,307,0.413145
100,307,0.509467
1,308,0.034167
2,308,0.0447834
10,308,0.382004
100,308,0.508772
1,309,0.167374
2,309,0.245988
10,309,0.407769
100,309,0.475501
1,310,0.0711214
2,310,0.355613
10,310,0.375767
100,310,0.499413
1,311,0.23469
2,311,0.369239
10,311,0.475179
100,311,0.49124
1,312,0.938344
2,312,0.657705
10,312,0.483675
100,312,0.488889
1,313,0.624746
2,313,0.71036
10,313,0.517363
100,313,0.508992
1,314,0.507879
2,314,0.591472
10,314,0.370454
100,314,0.497446
1,315,0.778202
2,315,0.74757
10,315,0.479333
100,315,0.501151
1,316,0.824634
2,316,0.637397
10,316,0.581776
100,316,0.472954
1,317,0.645018
2,317,0.537741
10,317,0.542107
100,317,0.512994
1,318,0.156362
2,318,0.295801
10,318,0.502915
100,318,0.539873
1,319,0.950433
2,319,0.927886
10,319,0.516912
100,319,0.489576
1,320,0.581188
2,320,0.668279
10,320,0.509242
100,320,0.451322
1,321,0.536475
2,321,0.401893
10,321,0.30953
100,321,0.427919
1,322,0.361994
2,322,0.608153
10,322,0.649738
100,322,0.531186
1,323,0.101592
2,323,0.427123
10,323,0.511989
100,323,0.555867
1,324,0.331633
2,324,0.345583
10,324,0.4805
100,324,0.520804
1,325,0.0418085
2,325,0.0912818
10,325,0.442082
100,325,0.504122
1,326,0.799976
2,326,0.606261
10,326,0.415978
100,326,0.497471
1,327,0.790214
2,327,0.620748
10,327,0.489476
100,327,0.508133
1,328,0.0934955
2,328,0.230881
10,328,0.491489
100,328,0.499632
1,329,0.0574293
2,329,0.0473287
10,329,0.340466
100,329,0.50168
1,330,0.750108
2,330,0.665882
10,330,0.431299
100,330,0.466294
1,331,0.694054
2,331,0.841189
10,331,0.741684
100,331,0.534123
1,332,0.616684
2,332,0.434214
10,332,0.392386
100,332,0.515863
1,333,0.526969
2,333,0.753489
10,333,0.626393
100,333,0.498478
1,334,0.633694
2,334,0.808186
10,334,0.604747
100,334,0.512227
1,335,0.464716
2,335,0.413035
10,335,0.465238
100,335,0.4876
1,336,0.941083
2,336,0.894714
10,336,0.754903
100,336,0.513617
1,337,0.423042
2,337,0.397039
10,337,0.516635
100,337,0.460952
1,338,0.101594
2,338,0.206579
10,338,0.460049
100,338,0.512381
1,339,0.19006
2,339,0.546872
10,339,0.540239
100,339,0.464553
1,340,0.712328
2,340,0.531589
10,340,0.356049
100,340,0.4915
1,341,0.231321
2,341,0.22544
10,341,0.500249
100,341,0.471878
1,342,0.462488
2,342,0.524814
10,342,0.4733
100,342,0.48632
1,343,0.628469
2,343,0.513649
10,343,0.523526
100,343,0.503648
1,344,0.794822
2,344,0.437338
10,344,0.500217
100,344,0.507609
1,345,0.851002
2,345,0.519158
10,345,0.590858
100,345,0.54957
1,346,0.740411
2,346,0.758282
10,346,0.534922
100,346,0.534747
1,347,0.879022
2,347,0.521423
10,347,0.627929
100,347,0.555281
1,348,0.221057
2,348,0.285082
10,348,0.501473
100,348,0.515477
1,349,0.325709
2,349,0.602817
10,349,0.625848
100,349,0.54288
1,350,0.150622
2,350,0.250352
10,350,0.657756
100,350,0.50131
1,351,0.651643
2,351,0.716379
10,351,0.459391
100,351,0.483605
1,352,0.0162975
2,352,0.121879
10,352,0.447938
100,352,0.535347
1,353,0.318904
2,353,0.316549
10,353,0.584366
100,353,0.566353
1,354,0.282872
2,354,0.55563
10,354,0.553186
100,354,0.451925
1,355,0.801298
2,355,0.729991
10,355,0.483809
100,355,0.505913
1,356,0.937697
2,356,0.719901
10,356,0.370105
100,356,0.465139
1,357,0.747872
2,357,0.869435
10,357,0.595991
100,357,0.529928
1,358,0.781133
2,358,0.822024
10,358,0.597142
100,358,0.515985
1,359,0.290274
2,359,0.194202
10,359,0.395503
100,359,0.523754
1,360,0.666902
2,360,0.657349
10,360,0.535005
100,360,0.465486
1,361,0.490332
2,361,0.496894
10,361,0.611961
100,361,0.517559
1,362,0.808845
2,362,0.863472
10,362,0.70788
100,362,0.513829
1,363,0.242641
2,363,0.146494
10,363,0.359164
100,363,0.460143
1,364,0.495216
2,364,0.300977
10,364,0.488069
100,364,0.443228
1,365,0.577746
2,365,0.343903
10,365,0.610811
100,365,0.549119
1,366,0.0887543
2,366,0.0952363
10,366,0.457399
100,366,0.474836
1,367,0.254925
2,367,0.246728
10,367,0.497161
100,367,0.54726
1,368,0.040369
2,368,0.362104
10,368,0.464569
100,368,0.497718
1,369,0.789385
2,369,0.495921
10,369,0.51032
100,369,0.529972
1,370,0.806394
2,370,0.5036
10,370,0.438376
100,370,0.500546
1,371,0.627079
2,371,0.727623
10,371,0.594091
100,371,0.578993
1,372,0.0339775
2,372,0.197983
10,372,0.592517
100,372,0.524329
1,373,0.0612086
2,373,0.0793975
10,373,0.457632
100,373,0.512596
1,374,0.166276
2,374,0.32188
10,374,0.408499
100,374,0.507148
1,375,0.677796
2,375,0.500758
10,375,0.390434
100,375,0.512719
1,376,0.718738
2,376,0.530417
10,376,0.608896
100,376,0.479532
1,377,0.623637
2,377,0.353734
10,377,0.569414
100,377,0.504604
1,378,0.889859
2,378,0.584605
10,378,0.534061
100,378,0.461742
1,379,0.808241
2,379,0.839961
10,379,0.637198
100,379,0.514677
1,380,0.894427
2,380,0.753471
10,380,0.61109
100,380,0.471927
1,381,0.282258
2,381,0.216572
10,381,0.393955
100,381,0.507571
1,382,0.444343
2,382,0.231746
10,382,0.3547
100,382,0.476725
1,383,0.478256
2,383,0.563969
10,383,0.683424
100,383,0.523332
1,384,0.151765
2,384,0.502184
10,384,0.5654
100,384,0.483586
1,385,0.755541
2,385,0.544292
10,385,0.46705
100,385,0.481023
1,386,0.291373
2,386,0.434866
10,386,0.491155
100,386,0.506696
1,387,0.759106
2,387,0.640233
10,387,0.66843
100,387,0.515084
1,388,0.333216
